#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,051  ,2412 ,221991 ,SUBMINISTRAMENTS DIVERSOS OCUPACIÓ                ,051,2412 ,221991,8000,1500,,3035.04
2025,051  ,2412 ,226021 ,PUBLICITAT I DIFUSIÓ  FORMACIÓ                    ,051,2412 ,226021,500,0,,0
2025,051  ,2412 ,226022 ,PUBLICITAT I DIFUSIÓ  OCUPACIÓ                    ,051,2412 ,226022,500,3000,,0
2025,051  ,2412 ,22699  ,DESP VARIES -FORMACIÓ I OCUPACIÓ                  ,051,2412 ,22699 ,2000,0,,420.53
2025,051  ,2412 ,226992 ,DESP VARIES -OCUPACIÓ                             ,051,2412 ,226992,1000,800,,429.74
2025,051  ,2412 ,48911  ,BEQUES ALUMNES PROGRAMES                          ,051,2412 ,48911 ,100,0,,0
2025,051  ,2413 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,051,2413 ,16000 ,169388.71,0,,32020.93
2025,051  ,2413 ,48901  ,TR CORRENTS EMPRESA INSERCIO SAOPRAT SL           ,051,2413 ,48901 ,155000,66000,,159000
2025,051  ,2413 ,48902  ,TR. CORRENTS FUNDACIO CASSIA JUST                 ,051,2413 ,48902 ,62000,24800,,62000
2025,044  ,231  ,22102  ,CONSUM GAS EDIFICIS SERVEIS SOCIALS               ,,2    ,221   ,14639,869.69,,11083.71
2025,051  ,2413 ,48903  ,TR CORRENTS CPS FRANCESC PALAU                    ,051,2413 ,48903 ,95000,38000,,95000
2025,051  ,2413 ,48904  ,TRANSF CORRENTS GATS (LABESOC)                    ,051,2413 ,48904 ,20000,40000,,40000
2025,051  ,2413 ,48905  ,TR CORR FUNDACIO CATALANA DE L'ESPLAI             ,051,2413 ,48905 ,70000,28000,,28000
2025,051  ,2413 ,48906  ,"TRANSF CORRENTS, AJUTS A LA CONTRACTACIÓ          ",051,2413 ,48906 ,140000,159000,,80918.3
2025,051  ,2413 ,48912  ,TRANSF CORRENTS ECONOMIA SOCIAL I COOPERATIVA     ,051,2413 ,48912 ,40000,12318,,19861.12
2025,051  ,2413 ,48915  ,TRANSF CORRENTS COOPERATIVA OBRERA DE VIVENDES    ,051,2413 ,48915 ,11000,4400,,11000
2025,051  ,2413 ,48917  ,TRANSF CORRENTS COOPERATIVA AGRÍCOLA              ,051,2413 ,48917 ,40000,16000,,16000
2025,051  ,2413 ,48918  ,TRANSF CORRENTS FUNDACIÓ SEIRA                    ,051,2413 ,48918 ,100,0,,0
2025,051  ,2414 ,1430   ,PLANS OCUPACIO SOC                                ,051,2414 ,1430  ,56021,1013166.02,,560794.02
2025,051  ,2414 ,16000  ,QUOTES SEGURETAT SOCIAL SOC                       ,051,2414 ,16000 ,18693.12,349232.41,,165548.32
2025,051  ,2415 ,16000  ,QUOTES SEGURETAT AMB                              ,051,2415 ,16000 ,8156.5,16100,,8007.99
2025,051  ,2416 ,1430   ,PLANS OCUPACIO DIPUTACIÓ                          ,051,2416 ,1430  ,18000,144248.1,,89524.54
2025,051  ,433  ,12003  ,SOUS DEL GRUP C1                                  ,,4    ,1     ,41393.22,0,,32161.49
2025,051  ,433  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,4    ,1     ,47718.92,0,,32287.7
2025,051  ,433  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,4    ,1     ,97590.84,0,,65620.38
2025,031  ,920  ,633    ,INVERSIÓ EN MATERIAL INVENTARIABLE MAQUINARIA     ,031,920  ,633   ,5000,0,,4932.02
2025,012  ,221  ,16205  ,ASSEGURANÇA VIDA I ACCIDENTS                      ,,2    ,1     ,131491.46,0,,131491.46
2025,032  ,170  ,22602  ,DESP DIFUSIÓ AMBIENTAL                            ,032,17   ,22    ,5000,0,,100
2025,032  ,170  ,227991 ,CONTR PREST SERV PLATJA                           ,032,17   ,22    ,24000,0,,19342.6
2025,032  ,170  ,227993 ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,36000,0,,3049.2
2025,032  ,170  ,46602  ,QUOTA MEMBRE ASSOC RED CLIMA I RED BIODIVERSITAT  ,032,170  ,46602 ,1000,0,,1000
2025,032  ,170  ,46603  ,QUOTA MEMBRE ASSOCIACIO MUNICIPIS ENERGIA PUBLICA ,032,170  ,46603 ,3300,0,,3300
2025,032  ,170  ,48904  ,TRANSF CORRENT CRAM                               ,032,170  ,48904 ,30000,12000,,30000
2025,032  ,170  ,48905  ,TRANSF CORRENTS ACCIÓ AMBIENTAL  AGRUP FOTOGRAF   ,032,170  ,48905 ,2500,921.2,,921.2
2025,032  ,1721 ,12006  ,TRIENNIS                                          ,,1    ,1     ,6172.28,0,,4534.94
2025,032  ,1721 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,14667.66,0,,10599.4
2025,032  ,1721 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,26473.92,0,,18817.61
2025,032  ,1721 ,22199  ,GESTIÓ-ESPAIS NATURALS                            ,032,17   ,22    ,5000,19719.05,,21724.84
2025,032  ,1722 ,22601  ,DESPESES DIVERSES                                 ,032,17   ,22    ,450,0,,126.75
2025,032  ,1722 ,22701  ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,30650,0,,6726.9
2025,032  ,1722 ,467    ,APORT. CONSORCI ESPAIS NATURALS DEL DELTA         ,032,1722 ,467   ,60000,0,,45000
2025,014  ,150  ,640    ,"REDACCIÓ DE PROJECTES, ESTUDIS, DIRECCIONS OBRES  ",014,150  ,640   ,195000,859907.18,,153731.35
2025,032  ,419  ,2279901,ESTRATÈGIA ALIMENTACIÓ SOSTENIBLE                 ,032,41   ,22    ,7000,0,,0
2025,032  ,419  ,46601  ,QUOTA MEMBRE ASSOC RED DE CIUDADES POR LA AGRC    ,032,419  ,46601 ,1000,0,,1000
