#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,051  ,433  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,4    ,1     ,97590.84,0,,42681.45
2025,051  ,433  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL            ,,4    ,1     ,94183.34,0,,45110.3
2025,031  ,920  ,633    ,INVERSIÓ EN MATERIAL INVENTARIABLE MAQUINARIA     ,031,920  ,633   ,5000,0,,4846.44
2025,012  ,221  ,16205  ,ASSEGURANÇA VIDA I ACCIDENTS                      ,,2    ,1     ,131491.46,0,,131491.46
2025,032  ,170  ,22602  ,DESP DIFUSIÓ AMBIENTAL                            ,032,17   ,22    ,5000,0,,100
2025,032  ,170  ,227991 ,CONTR PREST SERV PLATJA                           ,032,17   ,22    ,24000,0,,5445
2025,032  ,170  ,227993 ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,36000,0,,0
2025,032  ,170  ,46602  ,QUOTA MEMBRE ASSOC RED CLIMA I RED BIODIVERSITAT  ,032,170  ,46602 ,1000,0,,1000
2025,032  ,170  ,46603  ,QUOTA MEMBRE ASSOCIACIO MUNICIPIS ENERGIA PUBLICA ,032,170  ,46603 ,3300,0,,0
2025,032  ,170  ,48904  ,TRANSF CORRENT CRAM                               ,032,170  ,48904 ,30000,12000,,30000
2025,032  ,170  ,48905  ,TRANSF CORRENTS ACCIÓ AMBIENTAL  AGRUP FOTOGRAF   ,032,170  ,48905 ,2500,921.2,,921.2
2025,032  ,1721 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,17560.44,0,,8780.22
2025,032  ,1721 ,12006  ,TRIENNIS                                          ,,1    ,1     ,6172.28,0,,3086.14
2025,032  ,1721 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,8540,0,,4270
2025,032  ,1721 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,14667.66,0,,7333.83
